[2025-06-16T17:08:38.962Z] IP: 4.224.24.56, 23.235.43.93,::ffff:10.10.10.220,::ffff:10.10.92.154 | GET /customer/
[2025-06-16T17:09:01.941Z] IP: 4.224.24.56, 23.235.43.93,::ffff:10.10.11.66,::ffff:10.10.88.172 | GET /customer/
[2025-06-16T17:09:23.403Z] IP: 4.224.24.56, 23.235.43.93,::ffff:10.10.11.66,::ffff:10.10.95.63 | GET /customer/
[2025-06-16T17:09:31.073Z] IP: 4.224.24.56, 23.235.43.93,::ffff:10.10.10.220,::ffff:10.10.86.178 | GET /customer/C001
[2025-06-16T17:11:13.000Z] IP: 4.224.24.56, 23.235.43.67,::ffff:10.10.10.220,::ffff:10.10.86.178 | GET /customer/
[2025-06-16T17:11:13.347Z] IP: 4.224.24.56, 23.235.43.67,::ffff:10.10.11.66,::ffff:10.10.92.154 | GET /accounts/customer/
[2025-06-16T17:11:13.432Z] IP: 4.224.24.56, 23.235.43.21,::ffff:10.10.10.220,::ffff:10.10.86.178 | GET /customer/
[2025-06-16T17:11:13.699Z] IP: 4.224.24.56, 23.235.43.67,::ffff:10.10.11.66,::ffff:10.10.86.87 | GET /account-details/
[2025-06-16T17:11:13.757Z] IP: 4.224.24.56, 23.235.43.21,::ffff:10.10.10.220,::ffff:10.10.86.92 | GET /accounts/customer/
[2025-06-16T17:11:14.096Z] IP: 4.224.24.56, 23.235.43.21,::ffff:10.10.11.66,::ffff:10.10.80.107 | GET /account-details/
[2025-06-16T17:11:23.212Z] IP: 4.224.24.56, 23.235.43.21,::ffff:10.10.10.220,::ffff:10.10.81.254 | GET /customer/C001
[2025-06-16T17:11:23.560Z] IP: 4.224.24.56, 23.235.43.21,::ffff:10.10.11.66,::ffff:10.10.94.130 | GET /accounts/customer/C001
[2025-06-16T17:11:23.971Z] IP: 4.224.24.56, 23.235.43.21,::ffff:10.10.10.220,::ffff:10.10.95.63 | GET /account-details/
[2025-06-16T17:11:24.646Z] IP: 4.224.24.56, 23.235.43.39,::ffff:10.10.10.220,::ffff:10.10.93.98 | GET /customer/
[2025-06-16T17:11:24.647Z] IP: 4.224.24.56, 23.235.43.67,::ffff:10.10.10.220,::ffff:10.10.90.251 | GET /accounts/customer/
[2025-06-16T17:12:48.069Z] IP: 4.224.24.56, 23.235.43.85,::ffff:10.10.11.66,::ffff:10.10.90.251 | GET /customer/C001
[2025-06-16T17:12:48.402Z] IP: 4.224.24.56, 23.235.43.85,::ffff:10.10.10.220,::ffff:10.10.88.172 | GET /accounts/customer/C001
[2025-06-16T17:12:48.789Z] IP: 4.224.24.56, 23.235.43.85,::ffff:10.10.10.220,::ffff:10.10.86.87 | GET /account-details/A0010
[2025-06-16T17:13:41.437Z] IP: 4.224.24.56, 23.235.43.29,::ffff:10.10.11.66,::ffff:10.10.93.98 | GET /customer/
[2025-06-16T17:13:41.440Z] IP: 4.224.24.56, 23.235.43.34,::ffff:10.10.10.220,::ffff:10.10.94.130 | GET /accounts/customer/C001
[2025-06-16T17:14:07.532Z] IP: 4.224.24.56, 23.235.43.29,::ffff:10.10.10.220,::ffff:10.10.80.107 | GET /customer/
[2025-06-16T17:14:07.536Z] IP: 4.224.24.56, 23.235.43.34,::ffff:10.10.11.66,::ffff:10.10.91.188 | GET /accounts/customer/C001
[2025-06-16T17:14:19.297Z] IP: 4.224.24.56, 23.235.43.34,::ffff:10.10.10.220,::ffff:10.10.92.96 | GET /customer/
[2025-06-16T17:14:19.297Z] IP: 4.224.24.56, 23.235.43.29,::ffff:10.10.11.66,::ffff:10.10.81.254 | GET /account-details/
[2025-06-16T17:14:35.826Z] IP: 4.224.24.56, 23.235.43.29,::ffff:10.10.10.220,::ffff:10.10.91.188 | GET /customer/C001
